"","image","specie","group","id","length","area","width","depth","tip_count"
"237","dicot-sim-12-6-20.rsml.jpg","dicot","12","6",45.1104,136.1948,3.4882667,12.539133,29
"238","dicot-sim-12-7-20.rsml.jpg","dicot","12","7",39.0144,123.10533,3.0395334,12.539133,27
"239","dicot-sim-12-8-20.rsml.jpg","dicot","12","8",37.346466,120.89553,3.2427332,12.539133,28
"240","dicot-sim-12-9-20.rsml.jpg","dicot","12","9",47.320198,145.75366,3.1072667,12.539133,33
"241","dicot-sim-120-1-17.rsml.jpg","dicot","120","1",146.60033,831.52826,4.2502666,17.7038,100
"242","dicot-sim-120-10-17.rsml.jpg","dicot","120","10",159.40193,895.0198,4.224867,17.720734,90
"243","dicot-sim-120-2-17.rsml.jpg","dicot","120","2",153.91553,873.506,4.2418,17.720734,83
"244","dicot-sim-120-3-17.rsml.jpg","dicot","120","3",173.7106,970.5001,5.4779334,17.720734,101
"245","dicot-sim-120-4-17.rsml.jpg","dicot","120","4",168.3004,932.1207,4.5127335,17.720734,99
"246","dicot-sim-120-5-17.rsml.jpg","dicot","120","5",167.92787,914.9842,4.2418,17.720734,99
"247","dicot-sim-120-6-17.rsml.jpg","dicot","120","6",156.8196,880.4656,4.8175335,17.712267,95
"248","dicot-sim-120-7-17.rsml.jpg","dicot","120","7",155.63426,878.83997,4.191,17.720734,90
"249","dicot-sim-120-8-17.rsml.jpg","dicot","120","8",145.01706,823.3664,4.3942,17.712267,95
"250","dicot-sim-120-9-17.rsml.jpg","dicot","120","9",159.3596,898.15247,4.3942,17.712267,88
"251","dicot-sim-121-1-20.rsml.jpg","dicot","121","1",26.424467,98.865265,3.1326666,6.544733,19
"252","dicot-sim-121-10-20.rsml.jpg","dicot","121","10",33.587265,119.75253,3.3358667,6.5532,28
"253","dicot-sim-121-2-20.rsml.jpg","dicot","121","2",31.690733,113.4618,3.2850666,6.5532,25
"254","dicot-sim-121-3-20.rsml.jpg","dicot","121","3",29.574066,107.746796,2.9464,6.5532,26
