image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index,overlap
dicot-sim-37-5-12.rsml,4264.9917,43.095333,164.93068,22.873672,1,169.0,169.99944,2.4247077,1.2467633,149,4009.0,27.483168,0.37418586,34.264793,299,150.0,150.0,1.0,0.6450999
dicot-sim-37-6-12.rsml,4357.8975,40.47067,164.93068,22.728378,1,169.0,169.99968,2.3990319,1.1567409,148,4106.0,28.296604,0.37135682,32.994827,297,149.0,149.0,1.0,0.6961789
dicot-sim-37-7-13.rsml,4900.7236,41.91,184.99667,22.678127,1,189.0,189.99881,2.8553584,1.0885694,163,4621.0,28.900152,0.4007187,34.196342,327,164.0,164.0,1.0,0.6602671
dicot-sim-37-8-12.rsml,4533.4307,38.015335,164.93068,22.79964,1,169.0,169.99826,2.4283528,1.2170234,154,4284.0,28.333971,0.36942935,31.392282,309,155.0,155.0,1.0,0.6893805
dicot-sim-37-9-12.rsml,4467.495,41.317333,164.93068,22.650717,1,169.0,169.99973,2.4063752,1.288598,154,4213.0,27.905811,0.37285626,34.121723,309,155.0,155.0,1.0,0.65636367
dicot-sim-370-1-25.rsml,6685.189,59.520668,279.99268,18.087566,1,284.0,284.99893,0.7470979,1.3487039,1005,5905.0,6.3683486,0.059913334,75.11673,2011,1006.0,1006.0,1.0,0.6611594
dicot-sim-370-10-25.rsml,7102.2373,58.420002,280.07733,18.095665,1,284.0,284.99988,0.73617923,1.469206,1084,6258.0,6.288965,0.058716796,76.2199,2169,1085.0,1085.0,1.0,0.6680206
dicot-sim-370-2-25.rsml,6490.943,48.34467,279.99268,17.629011,1,284.0,284.9989,0.72383523,1.1755831,917,5742.0,6.76766,0.06050222,74.188065,1835,918.0,918.0,1.0,0.66119874
dicot-sim-370-3-25.rsml,6949.5063,58.589336,279.99268,17.81631,1,284.0,284.99985,0.7476733,1.2334045,1016,6173.0,6.559555,0.059653368,74.82382,2033,1017.0,1017.0,1.0,0.6597879
dicot-sim-370-4-25.rsml,7059.4277,55.287334,279.99268,18.017675,1,284.0,284.99872,0.74341446,1.3791995,1038,6234.0,6.5264254,0.058625456,74.04681,2077,1039.0,1039.0,1.0,0.66134006
dicot-sim-370-5-25.rsml,7383.4014,53.424667,279.99268,17.514751,1,284.0,284.99948,0.72870773,1.1327149,1062,6551.0,6.683994,0.059372373,75.31182,2125,1063.0,1063.0,1.0,0.66439664
dicot-sim-370-6-25.rsml,7015.27,49.022003,279.90802,17.839067,1,284.0,284.99637,0.74316293,1.2777699,1065,6183.0,6.3195066,0.05865081,75.44281,2131,1066.0,1066.0,1.0,0.6589659
dicot-sim-370-7-25.rsml,5812.842,47.328667,279.99268,18.570137,1,284.0,284.99484,0.7444069,1.3774363,811,5122.0,6.8160934,0.06353414,70.94082,1623,812.0,812.0,1.0,0.6551481
dicot-sim-370-8-25.rsml,6505.83,47.159336,279.99268,17.892677,1,284.0,284.99362,0.7351622,1.4586164,935,5740.0,6.6533027,0.060640346,75.340866,1871,936.0,936.0,1.0,0.66079706
dicot-sim-370-9-25.rsml,7212.4775,49.61467,279.99268,17.468128,1,284.0,284.99994,0.757663,1.2315155,1047,6409.0,6.616502,0.05984282,76.35764,2095,1048.0,1048.0,1.0,0.6609608
dicot-sim-371-1-22.rsml,5466.3447,53.001335,309.9647,22.62262,1,314.0,314.99588,1.2402551,0.9075478,240,5023.0,21.463951,0.16174264,37.46474,481,241.0,241.0,1.0,0.5752949
dicot-sim-371-10-22.rsml,5489.6313,56.811337,309.9647,23.078907,1,314.0,315.0,1.2343941,0.892408,236,5038.0,21.926407,0.16106674,38.201035,473,237.0,237.0,1.0,0.5592982
