"","image","specie","group","id","mean_prim_diameter","mean_lat_diameter"
"320","dicot-sim-127-9-20.rsml","dicot","127","9",0.030844435,0.011299237
"321","dicot-sim-128-1-20.rsml","dicot","128","1",0.057592995,0.010180557
"322","dicot-sim-128-10-20.rsml","dicot","128","10",0.0556554,0.009876205
"323","dicot-sim-128-2-20.rsml","dicot","128","2",0.05650987,0.010016865
"324","dicot-sim-128-3-20.rsml","dicot","128","3",0.054134898,0.010008056
"325","dicot-sim-128-4-20.rsml","dicot","128","4",0.055861305,0.009858035
"326","dicot-sim-128-5-20.rsml","dicot","128","5",0.05580675,0.010163591
"327","dicot-sim-128-6-20.rsml","dicot","128","6",0.054615725,0.01006524
"328","dicot-sim-128-7-20.rsml","dicot","128","7",0.05519585,0.009867266
"329","dicot-sim-128-8-20.rsml","dicot","128","8",0.056801338,0.010121234
"330","dicot-sim-128-9-20.rsml","dicot","128","9",0.05708713,0.0099840425
"331","dicot-sim-129-1-20.rsml","dicot","129","1",0.04889319,0.012362315
"332","dicot-sim-129-10-20.rsml","dicot","129","10",0.05173666,0.013803021
"333","dicot-sim-129-2-20.rsml","dicot","129","2",0.052177507,0.013807965
"334","dicot-sim-129-3-20.rsml","dicot","129","3",0.049207736,0.01370609
"335","dicot-sim-129-4-20.rsml","dicot","129","4",0.053432304,0.01435686
"336","dicot-sim-129-5-20.rsml","dicot","129","5",0.049325123,0.015354834
"337","dicot-sim-129-6-20.rsml","dicot","129","6",0.050833717,0.012721215
"338","dicot-sim-129-7-20.rsml","dicot","129","7",0.05198874,0.016621524
"339","dicot-sim-129-8-20.rsml","dicot","129","8",0.052872293,0.015017009
"340","dicot-sim-129-9-20.rsml","dicot","129","9",0.052824873,0.013737333
"341","dicot-sim-13-1-20.rsml","dicot","13","1",0.06225433,0.016484607
"342","dicot-sim-13-10-20.rsml","dicot","13","10",0.060033448,0.016271949
"343","dicot-sim-13-2-20.rsml","dicot","13","2",0.062294938,0.01616877
"344","dicot-sim-13-3-20.rsml","dicot","13","3",0.061298344,0.016148614
"345","dicot-sim-13-4-20.rsml","dicot","13","4",0.062405832,0.016226402
